"","Axis.1","Axis.2"
"FAY_15750",-0.0746483187712978,0.0430994153652652
"FAY_15756",-0.0970433847410783,0.110432745074997
"FAY_15759",-0.21813314611755,0.0591688847660109
"FAY_15768",-0.0585615850953683,0.0256654207021222
"FAY_15777",-0.262310318409067,0.332839637696478
"FAY_15779",-0.255686480217924,0.147637520562131
"FAY_15783",-0.256412653472659,-0.0865511463777018
"FAY_15793",-0.266372971559153,-0.00363931330918973
"FAY_15794",0.0652987291336827,0.00215558578536106
"FAY_15797",-0.116997271390399,0.101529035468796
"FAY_15798",-0.229746323373783,0.0206018193059133
"FAY_15815",-0.24624235256201,-0.100881068636803
"FAY_15827",-0.261182290298367,0.17658619609146
"FAY_15832",-0.292707150044305,0.0237526489821473
"FAY_15833",-0.177186471683089,0.0694299623327545
"FAY_15835",-0.177405019298693,0.0277546709316564
"FAY_15840",-0.223155236644201,0.0769058376701449
"FAY_15861",-0.0973668166972429,0.0303949439645964
"FAY_15862",-0.321145673657773,0.263871389841206
"FAY_15864",-0.328211467778145,0.0313787654356811
"FAY_15871",-0.264708320075468,0.157633190767475
"FAY_15872",-0.0217659235870666,0.0886566883644479
"FAY_15873",-0.318858581043522,-0.112689646452848
"FAY_15874",-0.269391228504199,0.322283825806123
"FAY_15875",-0.214643754012481,0.0434758834090676
"FAY_15876",-0.126234091659739,0.058051615773435
"FAY_15877",-0.230591801716346,0.0379101166324242
"FAY_15878",-0.311814905417608,-0.0078401829734465
"FAY_15880",-0.326748920327644,-0.152433225573568
"FAY_15883",-0.256219475656069,0.0290662244580247
"FAY_15886",-0.223754661816683,0.0727667565273345
"FAY_15888",-0.18608509340785,0.28733564794026
"FAY_15889",-0.160557295418184,0.0754707211803972
"FAY_15890",-0.270870441428029,0.0325357660574853
"FAY_15891",-0.309784027002008,0.235975580428531
"FAY_15892",-0.310624165731078,0.129776353476008
"FAY_15898",-0.181598714842475,0.200201096113807
"FAY_15899",-0.261036771303528,0.200092643456603
"FAY_15902",-0.189942378837535,0.0467851080724882
"FAY_15903",-0.0345908951008949,0.00459195146798024
"FAY_15904",-0.113928456140045,-0.017329888569908
"FAY_15905",-0.218204010817652,0.0419530696614538
"FAY_15906",-0.226624769098392,0.0529403516505407
"FAY_15907",-0.255392435775737,0.00539128258138693
"FAY_15908",-0.263121158507278,0.0233179884669723
"FAY_15909",-0.267638845213413,-0.0186770399553881
"FAY_15910",-0.33678017314705,0.16635385343489
"FAY_15912",-0.0879132419819071,0.0402962294306819
"FAY_15913",-0.0947714519229604,-0.0088113590044007
"FAY_15914",-0.253136730548095,-0.0160385369964321
"FAY_15915",-0.303801025101692,-0.01559917296787
"FAY_15916",-0.258175948647156,0.0345206033229119
"FAY_15917",-0.29624195274843,0.120380107882829
"FAY_15918",-0.295541320902587,0.215467681579412
